,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.002,0.002,438.651,438.651,main,D,,59,main:59(D),0,exec5-N200,0.00045597555970999944,100.00706762117548
1,1.0,0.066,0.066,438.573,438.573,GR_algorithm,D,,463,GR_algorithm:463(D),0,exec5-N200,0.015047193470429984,99.9892845743468
2,1.0,0.006,0.006,343.765,343.765,library_matrix,D,,638,library_matrix:638(D),0,exec5-N200,0.0013679266791299985,78.37421914185398
3,1.0,0.0,0.0,224.184,224.184,get_net_coeff,D,,550,get_net_coeff:550(D),0,exec5-N200,0.0,51.111212439013265
4,1.0,0.05,0.05,224.184,224.184,get_matrix_change_of_basis,D,,522,get_matrix_change_of_basis:522(D),0,exec5-N200,0.011399388992749988,51.111212439013265
5,1201.0,3.937,0.003,224.134,0.187,get_coeff_matrix_wrt_basis,D,,481,get_coeff_matrix_wrt_basis:481(D),0,exec5-N200,0.8975878892891339,51.0998130500205
6,1440000.0,0.959,0.0,209.88,0.0,has,C,,1193,has:1193(C),0,exec5-N200,0.21864028088094475,47.850075235967346
7,2985594/1507934,5.425,0.0,209.231,0.0,any,['builtins'],,,builtins.any,0,exec5-N200,1.2368337057133736,47.70211116684145
8,2880000.0,1.227,0.0,208.078,0.0,<genexpr>,C,,1240,<genexpr>:1240(C),0,exec5-N200,0.27974100588208467,47.43924125666864
9,1440000.0,6.251,0.0,206.85,0.0,_has,C,,1242,_has:1242(C),0,exec5-N200,1.4251516118736034,47.1592722630067
10,29236600.0,16.27,0.0,192.028,0.0,<genexpr>,C,,1257,<genexpr>:1257(C),0,exec5-N200,3.7093611782408455,43.78003738999589
11,1.0,0.0,0.0,113.357,113.357,spy_fourier_orthonormal,D,,446,spy_fourier_orthonormal:446(D),0,exec5-N200,0.0,25.844010761023206
12,7.0,0.001,0.0,113.353,16.193,spy_gramschmt_fourier,D,,339,spy_gramschmt_fourier:339(D),0,exec5-N200,0.00022798777985499972,25.843098809903786
13,28.0,0.0,0.0,112.968,4.035,l2_inner_product,D,,93,l2_inner_product:93(D),0,exec5-N200,0.0,25.75532351465961
14,28.0,0.0,0.0,112.968,4.035,quad,C,,49,quad:49(C),0,exec5-N200,0.0,25.75532351465961
15,28.0,0.0,0.0,112.968,4.035,_quad,C,,445,_quad:445(C),0,exec5-N200,0.0,25.75532351465961
16,28.0,0.068,0.002,112.968,4.035,_qagse,"['scipy', 'integrate', '_quadpack']",,,scipy.integrate._quadpack._qagse,0,exec5-N200,0.015503169030139983,25.75532351465961
17,18186.0,0.506,0.0,112.9,0.006,<lambda>,D,,118,<lambda>:118(D),0,exec5-N200,0.11536181660662986,25.73982034562947
18,18186.0,107.291,0.006,112.181,0.006,evaluate,C,,208,evaluate:208(C),0,exec5-N200,24.461036888422775,25.575897131913727
19,27796600.0,10.608,0.0,98.567,0.0,<lambda>,C,,1263,<lambda>:1263(C),0,exec5-N200,2.4184943687018374,22.472071496967757
20,11.0,1.41,0.128,94.568,8.597,B_eps_algorithm,D,,205,B_eps_algorithm:205(D),0,exec5-N200,0.32146276959554965,21.560348365327613
21,420.0,0.031,0.0,90.111,0.215,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec5-N200,0.007067621175504992,20.544206830513883
22,420.0,0.007,0.0,89.714,0.214,solve,C,,320,solve:320(C),0,exec5-N200,0.0015959144589849982,20.453695681911448
23,420.0,0.006,0.0,89.707,0.214,_solve,C,,667,_solve:667(C),0,exec5-N200,0.0013679266791299985,20.452099767452463
24,30875959/27964201,40.185,0.0,88.648,0.0,__eq__,C,,124,__eq__:124(C),0,exec5-N200,9.161688933473165,20.21066070858602
