node 0,node 1,node 2,node 3,node 4,node 5,node 6,node 7,node 8,node 9,node 10,node 11,node 12,node 13,node 14,node 15,node 16
4.285156,4.317383,4.334961,3.80957,4.337891,3.9746089999999996,3.405273,3.825195,4.368164,3.814453,3.8691410000000004,3.852539,4.375,3.799805,4.010742,4.051758,4.053711
3.952148,3.84375,3.888672,4.3125,3.8964839999999996,4.394531,3.510742,4.304688,3.7597660000000004,4.334961,4.375,4.373047,3.6796879999999996,4.347656,4.292969,4.34375,4.327148
4.324219,4.313477,4.291992,3.875977,4.30957,3.651367,3.84082,3.913086,4.286133,3.8203120000000004,3.717773,3.6953120000000004,4.164062,3.7714839999999996,3.9453120000000004,3.760742,3.844727
3.888672,3.904297,3.984375,4.385742,3.9765620000000004,4.148438,4.356445,4.411133,3.9921879999999996,4.321289,4.240234,4.244141,4.186523,4.355469,4.397461,4.297852,4.356445
4.349609,4.354492,4.236328,3.696289,4.271484,4.18457,3.7402339999999996,3.56543,4.314453,3.84375,4.032227,4.077148,4.104492,3.743164,3.65918,3.879883,3.758789
3.793945,3.789062,4.080078,4.21582,4.005859,4.128906,4.222656,3.8984379999999996,3.861328,4.34668,4.292969,4.30957,4.30957,4.234375,4.15625,4.386719,4.333984
4.34375,4.348633,4.246094,4.102539,4.287109,4.248047,4.094727,4.428711,4.420898,3.807617,3.966797,3.8828120000000004,3.8710940000000003,4.061523,4.223633,3.676758,3.798828
3.776367,3.776367,4.046875,4.22168,3.973633,4.041992,4.236328,3.5507809999999997,3.567383,4.292969,4.375977,4.393555,4.390625,4.318359,4.036133,4.211914,4.328125
4.285156,4.283203,4.268555,4.09375,4.307617,4.314453,4.051758,3.918945,3.9726559999999997,3.90918,3.720703,3.666992,3.672852,3.850586,4.318359,4.084961,3.8242190000000003
3.990234,3.987305,3.985352,4.268555,3.939453,3.8808589999999996,4.3125,4.399414,4.410156,4.398438,4.279297,4.179688,4.146484,4.378906,3.8710940000000003,4.311523,4.342773
4.289062,4.27832,4.34668,3.9765620000000004,4.34668,4.407227,3.90625,3.6152339999999996,3.5859379999999996,3.5820309999999997,3.924805,4.19043,4.239258,3.711914,4.345703,3.860352,3.84375
3.904297,3.958008,3.848633,4.297852,3.8515620000000004,3.6289059999999997,4.37207,4.077148,3.944336,4.032227,4.37207,4.114258,4.056641,4.213867,3.766602,4.382812,4.368164
4.375,4.388672,4.337891,3.9589839999999996,4.324219,4.114258,3.7753910000000004,4.334961,4.454102,4.317383,3.7460940000000003,4.293945,4.330078,4.119141,4.322266,3.763672,3.74707
3.681641,3.667969,3.8085940000000003,4.308594,3.827148,4.19043,4.271484,3.764648,3.428711,3.803711,4.228516,3.8710940000000003,3.783203,4.198242,3.8027339999999996,4.311523,4.24707
4.196289,4.160156,4.308594,3.919922,4.349609,4.147461,3.9785160000000004,4.264648,3.614258,4.305664,4.09082,4.382812,4.328125,4.166992,4.335938,3.920898,4.075195
4.098633,4.147461,3.911133,4.351562,3.862305,4.22168,4.370117,4.019531,4.064453,3.90332,4.314453,3.672852,3.830078,4.147461,3.8183589999999996,4.331055,4.266602
4.304688,4.242188,4.365234,3.8359379999999996,4.370117,4.058594,3.750977,4.379883,4.353516,4.360352,3.8847660000000004,4.217773,4.375,4.256836,4.388672,3.859375,4.005859
3.850586,3.986328,3.7753910000000004,4.279297,3.739258,4.330078,4.25,3.711914,3.719727,3.767578,4.386719,4.047852,3.665039,3.952148,3.594727,4.307617,4.308594
4.37793,4.370117,4.303711,3.9726559999999997,4.275391,3.844727,4.030273,4.271484,4.294922,4.291992,3.688477,4.362305,4.181641,4.395508,4.088867,3.944336,3.895508
3.749023,3.760742,3.9160160000000004,4.334961,3.938477,4.34668,4.336914,3.9160160000000004,3.874023,3.90918,4.200195,3.776367,4.18457,3.594727,4.269531,4.318359,4.405273
4.290039,4.30957,4.313477,3.8984379999999996,4.303711,3.783203,3.825195,4.393555,4.410156,4.396484,4.119141,4.299805,4.124023,4.039062,3.983398,3.899414,3.642578
3.870117,3.839844,3.9160160000000004,4.293945,3.966797,4.334961,4.359375,3.6347660000000004,3.549805,3.631836,4.249023,3.9277339999999996,4.241211,4.288086,4.332031,4.328125,4.136719
4.325195,4.295898,4.331055,3.9179690000000003,4.335938,3.833008,3.7421879999999996,4.087891,3.922852,4.102539,4.012695,4.379883,4.03125,3.9628910000000004,3.8242190000000003,3.8828120000000004,4.209961
3.887695,3.994141,3.895508,4.400391,3.879883,4.365234,4.313477,4.298828,4.416016,4.287109,4.368164,3.72168,4.334961,4.360352,4.367188,4.328125,4.125977
4.268555,4.302734,4.270508,3.62793,4.286133,3.735352,3.8378910000000004,3.875,3.583008,3.87793,3.696289,4.211914,3.831055,3.731445,3.676758,3.838867,4.194336
4.008789,3.957031,4.003906,4.115234,3.9921879999999996,4.238281,4.392578,4.385742,4.023438,4.378906,4.192383,4.114258,4.352539,4.258789,4.200195,4.375977,4.160156
4.323242,4.345703,4.329102,4.185547,4.324219,4.055664,3.655273,3.686523,4.347656,3.7089839999999996,4.15625,4.251953,3.766602,3.995117,4.144531,3.7070309999999997,4.208984
3.845703,3.822266,3.8984379999999996,4.113281,3.8652339999999996,4.310547,4.133789,4.149414,3.7617190000000003,4.204102,4.200195,4.035156,4.318359,4.349609,4.208008,4.231445,4.121094
4.386719,4.371094,4.384766,4.296875,4.384766,3.948242,4.280273,4.244141,4.347656,4.147461,4.150391,4.325195,3.9335940000000003,3.8320309999999997,4.143555,4.105469,4.254883
3.644531,3.704102,3.694336,3.873047,3.694336,4.328125,3.9140620000000004,3.958008,3.736328,4.15332,4.165039,3.857422,4.328125,4.287109,4.183594,4.217773,4.004883
4.167969,4.233398,4.211914,4.368164,4.227539,3.873047,4.401367,4.4375,4.295898,4.223633,4.197266,4.369141,3.8847660000000004,3.985352,4.164062,4.115234,4.379883
4.111328,4.013672,4.054688,3.7148440000000003,4.049805,4.320312,3.631836,3.512695,3.873047,4.071289,4.084961,3.782227,4.303711,4.351562,4.191406,4.233398,3.706055
4.270508,4.338867,4.318359,4.269531,4.318359,3.955078,4.098633,3.84375,4.416992,4.336914,4.299805,4.298828,3.935547,3.796875,4.128906,4.099609,4.265625
