,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.0,0.0,30.361,30.361,main,D,,40,main:40(D),0,exec0-20,0.0,100.30394132610922
1,1.0,0.001,0.001,30.193,30.193,GR_algorithm,D,,463,GR_algorithm:463(D),0,exec0-20,0.0033037100664045724,99.74891803495325
2,1.0,0.001,0.001,17.351,17.351,library_matrix,D,,638,library_matrix:638(D),0,exec0-20,0.0033037100664045724,57.322673362185725
3,1.0,0.0,0.0,14.277,14.277,spy_fourier_orthonormal,D,,446,spy_fourier_orthonormal:446(D),0,exec0-20,0.0,47.167068618058074
4,7.0,0.001,0.0,14.274,2.039,spy_gramschmt_fourier,D,,339,spy_gramschmt_fourier:339(D),0,exec0-20,0.0033037100664045724,47.15715748785886
5,28.0,0.0,0.0,14.03,0.501,l2_inner_product,D,,93,l2_inner_product:93(D),0,exec0-20,0.0,46.35105223165614
6,28.0,0.0,0.0,14.03,0.501,quad,C,,49,quad:49(C),0,exec0-20,0.0,46.35105223165614
7,28.0,0.0,0.0,14.03,0.501,_quad,C,,445,_quad:445(C),0,exec0-20,0.0,46.35105223165614
8,28.0,0.022,0.001,14.03,0.501,_qagse,"['scipy', 'integrate', '_quadpack']",,,scipy.integrate._quadpack._qagse,0,exec0-20,0.07268162146090058,46.35105223165614
9,18102.0,0.186,0.0,14.008,0.001,<lambda>,D,,118,<lambda>:118(D),0,exec0-20,0.6144900723512504,46.27837061019524
10,18102.0,12.611,0.001,13.716,0.001,evaluate,C,,208,evaluate:208(C),0,exec0-20,41.66308764742806,45.31368727080511
11,1.0,0.06,0.06,12.834,12.834,B_eps_algorithm,D,,205,B_eps_algorithm:205(D),0,exec0-20,0.19822260398427433,42.39981499223628
12,40.0,0.003,0.0,12.516,0.313,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec0-20,0.009911130199213717,41.349235191119625
13,40.0,0.006,0.0,12.485,0.312,solve,C,,320,solve:320(C),0,exec0-20,0.019822260398427435,41.24682017906108
14,40.0,0.0,0.0,12.48,0.312,_solve,C,,667,_solve:667(C),0,exec0-20,0.0,41.23030162872906
15,40.0,0.001,0.0,8.315,0.208,get_problem_data,C,,412,get_problem_data:412(C),0,exec0-20,0.0033037100664045724,27.470349202154015
16,40.0,0.005,0.0,8.286,0.207,apply,C,,53,apply:53(C),0,exec0-20,0.01651855033202286,27.37454161022828
17,40.0,0.005,0.0,6.555,0.164,apply,C,,83,apply:83(C),0,exec0-20,0.01651855033202286,21.655819485281967
18,40.0,0.374,0.009,5.975,0.149,apply_parameters,C,,144,apply_parameters:144(C),0,exec0-20,1.2355875648353098,19.739667646767316
19,40.0,3.981,0.1,5.446,0.136,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec0-20,13.152069774356601,17.992005021639297
20,40.0,0.0,0.0,4.147,0.104,solve_via_data,C,,289,solve_via_data:289(C),0,exec0-20,0.0,13.700485645379763
21,40.0,0.0,0.0,4.147,0.104,solve_via_data,C,,129,solve_via_data:129(C),0,exec0-20,0.0,13.700485645379763
22,40.0,0.01,0.0,4.146,0.104,solve,C,,8,solve:8(C),0,exec0-20,0.03303710066404572,13.697181935313354
23,40.0,4.136,0.103,4.136,0.103,csolve,['_ecos'],,,_ecos.csolve,0,exec0-20,13.664144834649312,13.664144834649312
24,1.0,0.0,0.0,2.617,2.617,get_net_coeff,D,,550,get_net_coeff:550(D),0,exec0-20,0.0,8.645809243780764
25,1.0,0.001,0.001,2.617,2.617,get_matrix_change_of_basis,D,,522,get_matrix_change_of_basis:522(D),0,exec0-20,0.0033037100664045724,8.645809243780764
26,121.0,0.035,0.0,2.616,0.022,get_coeff_matrix_wrt_basis,D,,481,get_coeff_matrix_wrt_basis:481(D),0,exec0-20,0.11562985232416002,8.64250553371436
27,38649/20489,0.058,0.0,1.96,0.0,any,['builtins'],,,builtins.any,0,exec0-20,0.1916151838514652,6.4752717301529605
28,14400.0,0.009,0.0,1.943,0.0,has,C,,1193,has:1193(C),0,exec0-20,0.029733390597641147,6.419108659024084
29,28800.0,0.011,0.0,1.926,0.0,<genexpr>,C,,1240,<genexpr>:1240(C),0,exec0-20,0.03634081073045029,6.362945587895205
30,14400.0,0.058,0.0,1.915,0.0,_has,C,,1242,_has:1242(C),0,exec0-20,0.1916151838514652,6.326604777164755
