,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.011,0.011,43.454,43.454,main,D,,38,main:38(D),0,exec3-SCS,0.025321117812255423,100.0276230376134
1,1.0,0.0,0.0,43.397,43.397,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec3-SCS,0.0,99.89641360894987
2,1.0,0.004,0.004,43.396,43.396,solve,C,,320,solve:320(C),0,exec3-SCS,0.009207679204456518,99.89411168914877
3,1.0,0.0,0.0,43.393,43.393,_solve,C,,667,_solve:667(C),0,exec3-SCS,0.0,99.88720592974542
4,1.0,0.0,0.0,36.797,36.797,solve_via_data,C,,289,solve_via_data:289(C),0,exec3-SCS,0.0,84.70374292159661
5,1.0,0.0,0.0,36.797,36.797,solve_via_data,C,,278,solve_via_data:278(C),0,exec3-SCS,0.0,84.70374292159661
6,1.0,0.0,0.0,36.797,36.797,solve,C,,14,solve:14(C),0,exec3-SCS,0.0,84.70374292159661
7,1.0,36.797,36.797,36.797,36.797,csolve,['_scs'],,,_scs.csolve,0,exec3-SCS,84.70374292159661,84.70374292159661
8,1.0,0.0,0.0,6.595,6.595,get_problem_data,C,,412,get_problem_data:412(C),0,exec3-SCS,0.0,15.181161088347682
9,1.0,0.007,0.007,6.594,6.594,apply,C,,53,apply:53(C),0,exec3-SCS,0.01611343860779891,15.178859168546571
10,1.0,0.0,0.0,4.461,4.461,apply,C,,207,apply:207(C),0,exec3-SCS,0.0,10.268864232770133
11,1.0,0.259,0.259,3.952,3.952,apply_parameters,C,,144,apply_parameters:144(C),0,exec3-SCS,0.5961972284885595,9.09718705400304
12,1.0,2.489,2.489,3.64,3.64,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec3-SCS,5.729478384973068,8.378988076055432
13,1.0,0.0,0.0,2.125,2.125,apply,C,,291,apply:291(C),0,exec3-SCS,0.0,4.8915795773675255
14,2.0,0.023,0.011,2.124,1.062,affine,C,,58,affine:58(C),0,exec3-SCS,0.05294415542562498,4.889277657566411
15,2.0,0.055,0.027,2.101,1.05,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec3-SCS,0.12660558906127714,4.8363335021407865
16,2.0,0.0,0.0,1.525,0.763,build_matrix,C,,1002,build_matrix:1002(C),0,exec3-SCS,0.0,3.510427696699047
17,2.0,1.525,0.763,1.525,0.763,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec3-SCS,3.510427696699047,3.510427696699047
18,1.0,0.925,0.925,0.925,0.925,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec3-SCS,2.1292758160305696,2.1292758160305696
19,1.0,0.004,0.004,0.495,0.495,_prepare_data_and_inv_data,C,,183,_prepare_data_and_inv_data:183(C),0,exec3-SCS,0.009207679204456518,1.1394503015514943
20,1.0,0.017,0.017,0.491,0.491,format_constraints,C,,129,format_constraints:129(C),0,exec3-SCS,0.0391326366189402,1.1302426223470377
21,46/35,0.003,0.0,0.46,0.013,__init__,C,,27,__init__:27(C),0,exec3-SCS,0.006905759403342389,1.0588831085124994
22,11.0,0.0,0.0,0.429,0.039,asformat,C,,294,asformat:294(C),0,exec3-SCS,0.0,0.9875235946779616
23,6.0,0.0,0.0,0.363,0.061,tocsc,C,,330,tocsc:330(C),0,exec3-SCS,0.0,0.835596887804429
24,7.0,0.0,0.0,0.337,0.048,sum_duplicates,C,,1084,sum_duplicates:1084(C),0,exec3-SCS,0.0,0.7757469729754617
25,1.0,0.0,0.0,0.324,0.324,sort_indices,C,,1131,sort_indices:1131(C),0,exec3-SCS,0.0,0.745822015560978
26,1.0,0.324,0.324,0.324,0.324,csr_sort_indices,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_sort_indices,0,exec3-SCS,0.745822015560978,0.745822015560978
27,5/1,0.007,0.001,0.236,0.236,__call__,C,,42,__call__:42(C),0,exec3-SCS,0.01611343860779891,0.5432530730629346
28,1.0,0.0,0.0,0.229,0.229,matmul,C,,61,matmul:61(C),0,exec3-SCS,0.0,0.5271396344551358
29,401/390,0.029,0.0,0.15,0.0,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec3-SCS,0.06675567423230976,0.34528797016711943
30,8.0,0.143,0.018,0.143,0.018,coo_tocsr,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.coo_tocsr,0,exec3-SCS,0.32917453155932047,0.32917453155932047
31,20/16,0.001,0.0,0.14,0.009,__init__,C,,126,__init__:126(C),0,exec3-SCS,0.0023019198011141294,0.32226877215597816
32,3.0,0.033,0.011,0.13,0.043,reshape,C,,198,reshape:198(C),0,exec3-SCS,0.07596335343676627,0.2992495741448368
33,2.0,0.0,0.0,0.118,0.059,tocsr,C,,372,tocsr:372(C),0,exec3-SCS,0.0,0.2716265365314673
34,6.0,0.0,0.0,0.114,0.019,__matmul__,C,,556,__matmul__:556(C),0,exec3-SCS,0.0,0.2624188573270108
35,6.0,0.0,0.0,0.114,0.019,new_method,C,,27,new_method:27(C),0,exec3-SCS,0.0,0.2624188573270108
36,6.0,0.004,0.001,0.114,0.019,__mul__,C,,453,__mul__:453(C),0,exec3-SCS,0.009207679204456518,0.2624188573270108
37,4.0,0.0,0.0,0.102,0.025,<lambda>,C,,37,<lambda>:37(C),0,exec3-SCS,0.0,0.23479581971364122
38,5.0,0.0,0.0,0.098,0.02,_mul_sparse_matrix,C,,494,_mul_sparse_matrix:494(C),0,exec3-SCS,0.0,0.22558814050918471
39,2.0,0.095,0.048,0.095,0.048,sort,numpy.ndarray,,,sort(numpy.ndarray),0,exec3-SCS,0.21868238110584232,0.21868238110584232
40,1.0,0.005,0.005,0.088,0.088,vstack,C,,470,vstack:470(C),0,exec3-SCS,0.011509599005570649,0.2025689424980434
41,20.0,0.0,0.0,0.083,0.004,_check,C,,265,_check:265(C),0,exec3-SCS,0.0,0.19105934349247278
42,2.0,0.03,0.015,0.083,0.042,bmat,C,,504,bmat:504(C),0,exec3-SCS,0.06905759403342389,0.19105934349247278
43,164.0,0.083,0.001,0.083,0.001,reduce,numpy.ufunc,,,reduce(numpy.ufunc),0,exec3-SCS,0.19105934349247278,0.19105934349247278
44,1.0,0.0,0.0,0.082,0.082,unique,<__array_function__ internals>,,2,unique:2(<__array_function__ internals>),0,exec3-SCS,0.0,0.18875742369135864
45,1.0,0.002,0.002,0.082,0.082,unique,C,,149,unique:149(C),0,exec3-SCS,0.004603839602228259,0.18875742369135864
46,1.0,0.012,0.012,0.08,0.08,_unique1d,C,,309,_unique1d:309(C),0,exec3-SCS,0.027623037613369556,0.18415358408913038
