,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.0,0.0,75.756,75.756,main,D,,28,main:28(D),0,exec1,0.0,100.12159018820046
1,1.0,0.0,0.0,75.632,75.632,GR_algorithm,D,,195,GR_algorithm:195(D),0,exec1,0.0,99.95770776062592
2,8.0,0.006,0.001,75.625,9.453,B_eps_algorithm,D,,69,B_eps_algorithm:69(D),0,exec1,0.007929794882639035,99.94845633326285
3,32.0,0.002,0.0,74.251,2.32,library_matrix,D,,913,library_matrix:913(D),0,exec1,0.0026432649608796785,98.13253330513851
4,32.0,0.01,0.0,73.147,2.286,generate_moments,D,,117,generate_moments:117(D),0,exec1,0.013216324804398393,96.67345104673292
5,544.0,0.003,0.0,73.127,0.134,l2_inner_product,D,,86,l2_inner_product:86(D),0,exec1,0.003964897441319518,96.64701839712411
6,544.0,0.003,0.0,73.105,0.134,quad,C,,49,quad:49(C),0,exec1,0.003964897441319518,96.61794248255445
7,544.0,0.002,0.0,73.102,0.134,_quad,C,,445,_quad:445(C),0,exec1,0.0026432649608796785,96.61397758511313
8,544.0,0.311,0.001,73.1,0.134,_qagse,"['scipy', 'integrate', '_quadpack']",,,scipy.integrate._quadpack._qagse,0,exec1,0.41102770141679,96.61133432015224
9,307104.0,2.59,0.0,72.789,0.0,<lambda>,D,,111,<lambda>:111(D),0,exec1,3.423028124339184,96.20030661873547
10,307104.0,52.694,0.0,69.916,0.0,evaluate,C,,208,evaluate:208(C),0,exec1,69.6421019242969,92.4032565024318
11,24.0,0.002,0.0,55.88,2.328,model_selection,D,,29,model_selection:29(D),0,exec1,0.0026432649608796785,73.85282300697821
12,2165140/1550428,5.162,0.0,14.576,0.0,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec1,6.822266864030451,19.2641150348911
13,307104.0,0.263,0.0,5.934,0.0,cholesky,<__array_function__ internals>,,2,cholesky:2(<__array_function__ internals>),0,exec1,0.3475893423556778,7.842567138930007
14,307104.0,2.643,0.0,5.379,0.0,cholesky,C,,673,cholesky:673(C),0,exec1,3.493074645802495,7.109061112285894
15,614259.0,0.533,0.0,4.851,0.0,dot,<__array_function__ internals>,,2,dot:2(<__array_function__ internals>),0,exec1,0.7044301120744344,6.4112391626136604
16,307104.0,0.263,0.0,3.341,0.0,common_type,<__array_function__ internals>,,2,common_type:2(<__array_function__ internals>),0,exec1,0.3475893423556778,4.415574117149503
17,307104.0,1.105,0.0,2.83,0.0,common_type,C,,679,common_type:679(C),0,exec1,1.4604038908860222,3.7402199196447454
18,307154.0,0.27,0.0,1.908,0.0,atleast_2d,<__array_function__ internals>,,2,atleast_2d:2(<__array_function__ internals>),0,exec1,0.3568407697187566,2.521674772679213
19,934794.0,0.414,0.0,1.442,0.0,asarray,C,,14,asarray:14(C),0,exec1,0.5471558469020934,1.905794036794248
20,307154.0,0.759,0.0,1.356,0.0,atleast_2d,C,,82,atleast_2d:82(C),0,exec1,1.003119052653838,1.7921336434764221
21,614256.0,0.428,0.0,1.327,0.0,iscomplexobj,<__array_function__ internals>,,2,iscomplexobj:2(<__array_function__ internals>),0,exec1,0.5656587016282512,1.7538063015436665
22,1249403.0,1.162,0.0,1.168,0.0,array,['numpy'],,,numpy.array,0,exec1,1.5357369422710931,1.543666737153732
23,24.0,0.001,0.0,1.141,0.048,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec1,0.0013216324804398393,1.5079826601818567
24,24.0,0.0,0.0,1.12,0.047,solve,C,,320,solve:320(C),0,exec1,0.0,1.4802283780926202
25,24.0,0.0,0.0,1.12,0.047,_solve,C,,667,_solve:667(C),0,exec1,0.0,1.4802283780926202
26,32.0,0.019,0.001,1.1,0.034,reduced_poly_orthonormal_PHI,D,,784,reduced_poly_orthonormal_PHI:784(D),0,exec1,0.025111017128356942,1.4537957284838234
27,307122.0,0.574,0.0,0.958,0.0,_commonType,C,,135,_commonType:135(C),0,exec1,0.7586170437724676,1.266123916261366
28,307140.0,0.321,0.0,0.638,0.0,_makearray,C,,107,_makearray:107(C),0,exec1,0.4242440262211884,0.8432015225206174
29,24.0,0.0,0.0,0.62,0.026,get_problem_data,C,,412,get_problem_data:412(C),0,exec1,0.0,0.8194121378727003
30,24.0,0.001,0.0,0.597,0.025,apply,C,,53,apply:53(C),0,exec1,0.0013216324804398393,0.789014590822584
31,614256.0,0.395,0.0,0.495,0.0,iscomplexobj,C,,279,iscomplexobj:279(C),0,exec1,0.5220448297737366,0.6542080778177205
32,24.0,0.0,0.0,0.484,0.02,solve_via_data,C,,289,solve_via_data:289(C),0,exec1,0.0,0.6396701205328822
33,24.0,0.0,0.0,0.484,0.02,solve_via_data,C,,129,solve_via_data:129(C),0,exec1,0.0,0.6396701205328822
34,24.0,0.0,0.0,0.484,0.02,solve,C,,8,solve:8(C),0,exec1,0.0,0.6396701205328822
35,24.0,0.483,0.02,0.483,0.02,csolve,['_ecos'],,,_ecos.csolve,0,exec1,0.6383484880524424,0.6383484880524424
36,392.0,0.012,0.0,0.478,0.001,get_coeff_matrix_wrt_basis,D,,658,get_coeff_matrix_wrt_basis:658(D),0,exec1,0.01585958976527807,0.6317403256502432
37,24.0,0.001,0.0,0.425,0.018,apply,C,,83,apply:83(C),0,exec1,0.0013216324804398393,0.5616938041869316
38,308214.0,0.356,0.0,0.356,0.0,astype,numpy.ndarray,,,astype(numpy.ndarray),0,exec1,0.47050116303658274,0.47050116303658274
39,192.0,0.01,0.0,0.354,0.002,lambdify,C,,169,lambdify:169(C),0,exec1,0.013216324804398393,0.46785789807570305
40,540.0,0.002,0.0,0.316,0.001,__new__,C,,141,__new__:141(C),0,exec1,0.0026432649608796785,0.4176358638189892
41,2152843.0,0.305,0.0,0.305,0.0,issubclass,['builtins'],,,builtins.issubclass,0,exec1,0.40309790653415095,0.40309790653415095
42,540.0,0.001,0.0,0.297,0.001,_from_expr,C,,285,_from_expr:285(C),0,exec1,0.0013216324804398393,0.39252484669063226
43,614286.0,0.206,0.0,0.284,0.0,isComplexType,C,,112,isComplexType:112(C),0,exec1,0.2722562909706069,0.3753436244449143
44,42884/40260,0.063,0.0,0.26,0.0,sympify,C,,90,sympify:90(C),0,exec1,0.08326284626770987,0.34362444491435823
45,24.0,0.013,0.001,0.257,0.011,apply_parameters,C,,144,apply_parameters:144(C),0,exec1,0.017181222245717907,0.3396595474730387
46,307347.0,0.241,0.0,0.241,0.0,reshape,numpy.ndarray,,,reshape(numpy.ndarray),0,exec1,0.3185134277860012,0.3185134277860012
47,9.0,0.003,0.0,0.241,0.027,triage_params,D,,11,triage_params:11(D),0,exec1,0.003964897441319518,0.3185134277860012
48,310010.0,0.118,0.0,0.24,0.0,asanyarray,C,,86,asanyarray:86(C),0,exec1,0.15595263269190102,0.3171917953055614
49,1080.0,0.009,0.0,0.23,0.0,_dict_from_expr,C,,345,_dict_from_expr:345(C),0,exec1,0.011894692323958553,0.3039754705011631
50,629255.0,0.229,0.0,0.229,0.0,max,['builtins'],,,builtins.max,0,exec1,0.3026538380207232,0.3026538380207232
51,307104.0,0.229,0.0,0.229,0.0,<lambda>,D,,28,<lambda>:28(D),0,exec1,0.3026538380207232,0.3026538380207232
52,307122.0,0.215,0.0,0.215,0.0,get_linalg_error_extobj,C,,102,get_linalg_error_extobj:102(C),0,exec1,0.2841509832945654,0.2841509832945654
53,307104.0,0.215,0.0,0.215,0.0,_assert_stacked_square,C,,200,_assert_stacked_square:200(C),0,exec1,0.2841509832945654,0.2841509832945654
54,6088.0,0.01,0.0,0.205,0.0,_func,C,,239,_func:239(C),0,exec1,0.013216324804398393,0.270934658490167
55,3397/1732,0.026,0.0,0.203,0.0,_print,C,,253,_print:253(C),0,exec1,0.034362444491435815,0.2682913935292874
56,192.0,0.003,0.0,0.194,0.001,doprint,C,,1042,doprint:1042(C),0,exec1,0.003964897441319518,0.2563967012053288
57,307140.0,0.142,0.0,0.187,0.0,_realType,C,,125,_realType:125(C),0,exec1,0.18767181222245716,0.24714527384224994
